"subshell","nlj","colour","colour2"
"K ","1s","rgb(123,104,238)","black"
"L1 ","2s","rgb(25,25,112)","blue"
"L2 ","2p1/2","rgb(0,0,139)","blue"
"L3 ","2p3/2","rgb(0,0,205)","blue"
"M1","3s","rgb(0,0,255)","orange"
"M2","3p1/2","rgb(65,105,225)","orange"
"M3","3p3/2","rgb(70,130,180)","orange"
"M4","3d3/2","rgb(100,149,237)","orange"
"M5"," 3d5/2","rgb(0,191,255)","orange"
"N1","4s","rgb(0,128,128)","green"
"N2","4p1/2","rgb(95,158,160)","green"
"N3","4p3/2","rgb(32,178,170)","green"
"N4","4d3/2","rgb(0,206,209)","green"
"N5","4d5/2","rgb(64,224,208)","green"
"N6","4f5/2","rgb(102,205,170)","green"
"N7","4f7/2","rgb(127,255,212)","green"
"O1","5s","rgb(0,255,255)","red"
"O2","5p1/2","rgb(0,250,154)","red"
"O3","5p3/2","rgb(0,255,127)","red"
"O4","5d3/2","rgb(173,255,47)","red"
"O5","5d5/2","rgb(107,142,35)","red"
"O6","5f5/2","rgb(154,205,50)","red"
"O7","5f7/2","rgb(107,142,35)","red"
"P1","6s","rgb(189,183,107)","yellow"
"P2","6p1/2","rgb(255,255,0)","yellow"
"P3 ","6p3/2","rgb(255,228,181)","yellow"
"P4","6d3/2","rgb(255,215,0)","yellow"
"P5","6d5/2","rgb(255,165,0)","yellow"
"Q1","7s","rgb(255,140,0)","purple"
