"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.000263,1972.06,27.9400000000001,2,1,2,49,33.75031,"rgb(123,104,238)",1.20795669291338
"K",0.000263,1972.06,27.9400000000001,2,2,1,49,32.837592,"rgb(123,104,238)",0.587644810307801
"L1",2.95e-05,1995.76,4.24000000000001,2,3,2,49,7.95314,"rgb(25,25,112)",1.87574056603773
"L1",2.95e-05,1995.76,4.24000000000001,2,4,1,49,7.754,"rgb(25,25,112)",0.914386792452828
"L2",6.36e-07,1996.06,3.94000000000005,2,5,2,49,7.442,"rgb(0,0,139)",1.88883248730962
"L2",6.36e-07,1996.06,3.94000000000005,2,6,1,49,7.196,"rgb(0,0,139)",0.913197969543134
"L3",5.39e-07,1996.27,3.73000000000002,4,7,4,49,6.77,"rgb(0,0,205)",1.81501340482573
"L3",5.39e-07,1996.27,3.73000000000002,4,8,3,49,6.554,"rgb(0,0,205)",1.31782841823056
"L3",5.39e-07,1996.27,3.73000000000002,4,9,2,49,6.331,"rgb(0,0,205)",0.848659517426269
"L3",5.39e-07,1996.27,3.73000000000002,4,10,1,49,6.126,"rgb(0,0,205)",0.410589812332438
"M1",5.68e-06,1999.17,0.829999999999927,2,11,2,49,2.62877,"rgb(0,0,255)",3.16719277108461
"M1",5.68e-06,1999.17,0.829999999999927,2,12,1,49,2.555,"rgb(0,0,255)",1.53915662650616
"M2",1.325e-07,1999.3,0.700000000000045,2,13,2,49,2.373,"rgb(65,105,225)",3.38999999999978
"M2",1.325e-07,1999.3,0.700000000000045,2,14,1,49,2.317,"rgb(65,105,225)",1.65499999999989
"M3",1.132e-07,1999.34,0.660000000000082,4,15,4,49,2.207,"rgb(70,130,180)",3.34393939393898
"M3",1.132e-07,1999.34,0.660000000000082,4,16,3,49,2.111,"rgb(70,130,180)",2.39886363636334
"M3",1.132e-07,1999.34,0.660000000000082,4,17,2,49,2.0285,"rgb(70,130,180)",1.53674242424223
"M3",1.132e-07,1999.34,0.660000000000082,4,18,1,49,1.961,"rgb(70,130,180)",0.742803030302938
"M4",1.049e-10,1999.55,0.450000000000045,4,19,4,49,1.738,"rgb(100,149,237)",3.86222222222183
"M4",1.049e-10,1999.55,0.450000000000045,4,20,3,49,1.659,"rgb(100,149,237)",2.76499999999972
"M4",1.049e-10,1999.55,0.450000000000045,4,21,2,49,1.575,"rgb(100,149,237)",1.74999999999982
"M4",1.049e-10,1999.55,0.450000000000045,4,22,1,49,1.496,"rgb(100,149,237)",0.831111111111027
"M5",2.47e-10,1999.56,0.440000000000055,6,23,6,49,1.413,"rgb(0,191,255)",3.21136363636324
"M5",2.47e-10,1999.56,0.440000000000055,6,24,5,49,1.328,"rgb(0,191,255)",2.5151515151512
"M5",2.47e-10,1999.56,0.440000000000055,6,25,4,49,1.255,"rgb(0,191,255)",1.90151515151492
"M5",2.47e-10,1999.56,0.440000000000055,6,26,3,49,1.181,"rgb(0,191,255)",1.34204545454529
"M5",2.47e-10,1999.56,0.440000000000055,6,27,2,49,1.109,"rgb(0,191,255)",0.840151515151411
"M5",2.47e-10,1999.56,0.440000000000055,6,28,1,49,1.043,"rgb(0,191,255)",0.395075757575709
"N1",1.045e-06,1999.88,0.119999999999891,2,29,2,49,0.59338,"rgb(0,128,128)",4.94483333333783
"N1",1.045e-06,1999.88,0.119999999999891,2,30,1,49,0.56,"rgb(0,128,128)",2.33333333333546
"N2",2.23e-08,1999.92,0.0799999999999272,2,31,2,49,0.4971,"rgb(95,158,160)",6.21375000000565
"N2",2.23e-08,1999.92,0.0799999999999272,2,32,1,49,0.462,"rgb(95,158,160)",2.88750000000263
"N3",1.89e-08,1999.92,0.0799999999999272,4,33,4,49,0.425,"rgb(32,178,170)",5.31250000000483
"N3",1.89e-08,1999.92,0.0799999999999272,4,34,3,49,0.396,"rgb(32,178,170)",3.71250000000338
"N3",1.89e-08,1999.92,0.0799999999999272,4,35,2,49,0.368,"rgb(32,178,170)",2.30000000000209
"N3",1.89e-08,1999.92,0.0799999999999272,4,36,1,49,0.341,"rgb(32,178,170)",1.06562500000097
"N4",1.328e-11,1999.98,0.0199999999999818,4,37,4,49,0.249,"rgb(0,206,209)",12.4500000000113
"N4",1.328e-11,1999.98,0.0199999999999818,4,38,3,49,0.226,"rgb(0,206,209)",8.47500000000771
"N4",1.328e-11,1999.98,0.0199999999999818,4,39,2,49,0.201,"rgb(0,206,209)",5.02500000000457
"N4",1.328e-11,1999.98,0.0199999999999818,4,40,1,49,0.178,"rgb(0,206,209)",2.22500000000202
"N5",3.11e-11,1999.98,0.0199999999999818,6,41,6,49,0.156,"rgb(64,224,208)",7.80000000000709
"N5",3.11e-11,1999.98,0.0199999999999818,6,42,5,49,0.1301,"rgb(64,224,208)",5.42083333333826
"N5",3.11e-11,1999.98,0.0199999999999818,6,43,4,49,0.109,"rgb(64,224,208)",3.63333333333664
"N5",3.11e-11,1999.98,0.0199999999999818,6,44,3,49,0.09,"rgb(64,224,208)",2.25000000000205
"N5",3.11e-11,1999.98,0.0199999999999818,6,45,2,49,0.0693,"rgb(64,224,208)",1.15500000000105
"N5",3.11e-11,1999.98,0.0199999999999818,6,46,1,49,0.05545,"rgb(64,224,208)",0.462083333333754
"O1",8.07e-08,2000,0.02804415,2,47,2,49,0.02804415,"rgb(0,255,255)",1
"O1",8.07e-08,2000,0.01887041,2,48,1,49,0.01887041,"rgb(0,255,255)",0.5
"O2",9.04e-10,2000,0.0057863557,2,49,2,49,0.0057863557,"rgb(0,250,154)",1
