Facility,Wavelength_nm,Pulse_Energy_J,Pulse_Duration_fs,Max_Repetition_Rate_Hz,Spot_Diameter_um,Power_W,Intensity_Wcm2
ALEPH,600,18,37,3.3,1.8,486486486486486,1.91177270299625E+022
Bella,815,40,30,1,65,1333333333333333,4.01811635564657E+019
Titan,1053,130,700,0.000278,19.5,185714285714286,6.21851340754827E+019
Scarlet,815,10,30,0.0167,2,333333333333333,1.06103385016292E+022
MEC,810,1,45,5,7,22222222222222.2,5.77433387843766E+019
Hercules,815,15,30,0.0167,25,500000000000000,1.01859249615641E+020
Diocles,805,20,30,0.1,10,666666666666666,8.48827080130337E+020
Omega_EP,1054,500,30,0.00037,30,1.66666666666667E+016,2.35785300036205E+021
Texas_Petawatt,1057,155,0.7,0.000416,22,2.21428571428571E+017,5.82503825650245E+022
NIF,350,2000000,20000,3.47E-05,600,1E+017,3.53677950054307E+019
VEGA3,800,30,30,1,5,1000000000000000,5.09296248078202E+021
VEGA2,800,6,30,10,5,200000000000000,1.0185924961564E+021
QST,800,30,30,0.1,5,1000000000000000,5.09296248078202E+021
LOA,800,2.5,25,10,5,100000000000000,5.09296248078202E+020
MBO,800,3.5,35,10,5,100000000000000,5.09296248078202E+020
ELI-NP,820,200,20,0.016,5,1E+016,5.09296248078203E+022
Generic_Nd:Glass,1053,100,1000000,0.0002,35,100000000000,1E+016
LCLS,0.1204,0.004,100,30,1.80685262857425,40000000000,3.9E+017
SACLA,0.006326,0.001,100,10,1.80223741636612,10000000000,9.8E+016
EurXFEL,0.005,0.002,100,27000,1.78412401778885,20000000000,2E+017
XFELO,0.00496,0.041,10000,1000000,1.80628789887501,4100000000,4E+016
Zeus,800,75,25,0.1,2,3000000000000000,2.38732616286657E+022
Vulcan,1053,2600,650,0.0003,5,,
Orion_Long_Pulse,351,400,1000000,6.94444E-05,50,,
Orion_Short_Pulse_1,527,200,500,6.94E-05,25,,
Orion_Short_Pulse_2,1054,500,500,6.94E-05,15,,
