Type,A_factor,B_sp_efm,B_w.u,B_efm,E_MeV,Ar_SI,Ar_AU
E1,84,1.2363549118177,1,1.2363549118177,1.00E-03,34679201.2875104,8.38849764325579E-10
E2,84,21.8520487003846,1,21.8520487003846,0.001,2.67250555605704E-05,6.46448180069428E-22
E3,84,419.1264,1,419.1264,0.001,2.3881822272E-16,5.77673655700585E-33
E4,84,8.51E+03,1.00E+00,8505.83025444971,0.001,1.44088764510378E-27,3.48534054026859E-44
E5,84,179834.149731321,0.08,14386.7319785056,0.00305,1.05488555400696E-34,2.55164613231126E-51
M1,84,1.79,0.08,0.1432,0.00305,72280.056621,1.74837096042929E-12
M2,84,31.6473100294632,1,31.6473100294632,0.001,4.3388462050394E-07,1.04951670782944E-23
M3,84,607.001352788461,1,607.001352788461,0.001,3.8769176402599E-18,9.37781531321759E-35
M4,84,12319.776,1,12319.776,0.001,2.3395254624E-29,5.65904147127726E-46
M5,84,260385.320756742,1,260385.320756742,0.001,1.00717042068708E-40,2.4362287442108E-57
