n,subshell,Valence_Config,nmax,nh
1,K,1s,2,2
2,K,1s,2,1
3,L1,2s,2,2
4,L1,2s,2,1
5,L2,2p1/2,2,2
6,L2,2p1/2,2,1
7,L3,2p3/2,4,4
8,L3,2p3/2,4,3
9,L3,2p3/2,4,2
10,L3,2p3/2,4,1
11,M1,3s,2,2
12,M1,3s,2,1
13,M2,3p1/2,2,2
14,M2,3p1/2,2,1
15,M3,3p3/2,4,4
16,M3,3p3/2,4,3
17,M3,3p3/2,4,2
18,M3,3p3/2,4,1
19,M4,3d3/2,4,4
20,M4,3d3/2,4,3
21,M4,3d3/2,4,2
22,M4,3d3/2,4,1
23,M5,3d5/2,6,6
24,M5,3d5/2,6,5
25,M5,3d5/2,6,4
26,M5,3d5/2,6,3
27,M5,3d5/2,6,2
28,M5,3d5/2,6,1
29,N1,4s,2,2
30,N1,4s,2,1
31,N2,4p1/2,2,2
32,N2,4p1/2,2,1
33,N3,4p3/2,4,4
34,N3,4p3/2,4,3
35,N3,4p3/2,4,2
36,N3,4p3/2,4,1
37,N4,4d3/2,4,4
38,N4,4d3/2,4,3
39,N4,4d3/2,4,2
40,N4,4d3/2,4,1
41,N5,4d5/2,6,6
42,N5,4d5/2,6,5
43,N5,4d5/2,6,4
44,N5,4d5/2,6,3
45,N5,4d5/2,6,2
46,N5,4d5/2,6,1
47,N6,4f5/2,6,6
48,N6,4f5/2,6,5
49,N6,4f5/2,6,4
50,N6,4f5/2,6,3
51,N6,4f5/2,6,2
52,N6,4f5/2,6,1
53,N7,4f7/2,8,8
54,N7,4f7/2,8,7
55,N7,4f7/2,8,6
56,N7,4f7/2,8,5
57,N7,4f7/2,8,4
58,N7,4f7/2,8,3
59,N7,4f7/2,8,2
60,N7,4f7/2,8,1
61,O1,5s,2,2
62,O1,5s,2,1
63,O2,5p1/2,2,2
64,O2,5p1/2,2,1
65,O3,5p3/2,4,4
66,O3,5p3/2,4,3
67,O3,5p3/2,4,2
68,O3,5p3/2,4,1
69,O4,5d3/2,4,4
70,O4,5d3/2,4,3
71,O4,5d3/2,4,2
72,O4,5d3/2,4,1
73,O5,5d5/2,6,6
74,O5,5d5/2,6,5
75,O5,5d5/2,6,4
76,O5,5d5/2,6,3
77,O5,5d5/2,6,2
78,O5,5d5/2,6,1
79,O6,5f5/2,6,6
80,O6,5f5/2,6,5
81,O6,5f5/2,6,4
82,O6,5f5/2,6,3
83,O6,5f5/2,6,2
84,O6,5f5/2,6,1
85,O7,5f7/2,8,8
86,O7,5f7/2,8,7
87,O7,5f7/2,8,6
88,O7,5f7/2,8,5
89,O7,5f7/2,8,4
90,O7,5f7/2,8,3
91,O7,5f7/2,8,2
92,O7,5f7/2,8,1
93,P1,6s,2,2
94,P1,6s,2,1
95,P2,6p1/2,2,2
96,P2,6p1/2,2,1
97,P3,6p3/2,4,4
98,P3,6p3/2,4,3
99,P3,6p3/2,4,2
100,P3,6p3/2,4,1
101,P4,6d3/2,4,4
102,P4,6d3/2,4,3
103,P4,6d3/2,4,2
104,P4,6d3/2,4,1
105,P5,6d5/2,6,6
106,P5,6d5/2,6,5
107,P5,6d5/2,6,4
108,P5,6d5/2,6,3
109,P5,6d5/2,6,2
110,P5,6d5/2,6,1
111,Q1,7s,2,2
112,Q1,7s,2,1
